image_id,sector_label,lat,lon,cluster
region_A_IMG_5419.jpg,0,31.26202778,34.80430556,0
region_A_IMG_5420.jpg,0,31.26209722,34.80433611,0
region_A_IMG_5421.jpg,0,31.26209722,34.80433611,0
region_A_IMG_5422.jpg,0,31.2621,34.80433611,0
region_A_IMG_5423.jpg,0,31.26209167,34.80437222,0
region_A_IMG_5424.jpg,0,31.26208333,34.80437778,0
region_A_IMG_5425.jpg,0,31.26209167,34.80437778,0
region_A_IMG_5426.jpg,0,31.26206944,34.80438333,0
region_A_IMG_5427.jpg,0,31.26206667,34.80438333,0
region_A_IMG_5428.jpg,0,31.26206667,34.804375,0
region_A_IMG_5429.jpg,0,31.26206667,34.804375,0
region_A_IMG_5430.jpg,0,31.26206667,34.804375,0
region_A_IMG_5431.jpg,0,31.26206667,34.804375,0
region_A_IMG_5432.jpg,0,31.262075,34.80436667,0
region_A_IMG_5433.jpg,0,31.26206944,34.80438889,0
region_A_IMG_5461.jpg,0,31.26214167,34.804275,0
region_A_IMG_5462.jpg,0,31.26214167,34.804275,0
region_A_IMG_5463.jpg,0,31.26214167,34.804275,0
region_A_IMG_5464.jpg,0,31.26214167,34.804275,0
region_A_IMG_5466.jpg,0,31.26213889,34.80429444,0
region_A_IMG_5467.jpg,0,31.26214167,34.80429167,0
region_A_IMG_5468.jpg,0,31.26214167,34.80429444,0
region_A_IMG_5471.jpg,0,31.26213889,34.80429444,0
region_A_IMG_5472.jpg,0,31.26214722,34.80428056,0
region_A_IMG_5473.jpg,0,31.26201389,34.80428611,0
region_A_IMG_5474.jpg,0,31.26201389,34.80428611,0
region_A_IMG_5475.jpg,0,31.26201667,34.804275,0
region_A_IMG_5476.jpg,0,31.26198333,34.80430278,0
region_A_IMG_5477.jpg,0,31.26200556,34.80428333,0
region_A_IMG_5478.jpg,0,31.26201389,34.80429444,0
region_A_IMG_5479.jpg,0,31.26201944,34.80429722,0
region_A_IMG_5480.jpg,0,31.26201111,34.80429444,0
